SOC/%,Voltage/V
0.000,0.800
1.000,0.820
2.000,0.840
3.000,0.860
4.000,0.880
5.000,0.900
6.000,0.921
7.000,0.943
8.000,0.964
9.000,0.984
10.000,1.000
11.000,1.013
12.000,1.025
13.000,1.037
14.000,1.047
15.000,1.057
16.000,1.066
17.000,1.075
18.000,1.083
19.000,1.092
20.000,1.100
21.000,1.108
22.000,1.116
23.000,1.124
24.000,1.131
25.000,1.138
26.000,1.145
27.000,1.151
28.000,1.158
29.000,1.164
30.000,1.170
31.000,1.176
32.000,1.181
33.000,1.187
34.000,1.192
35.000,1.197
36.000,1.202
37.000,1.206
38.000,1.211
39.000,1.216
40.000,1.220
41.000,1.224
42.000,1.229
43.000,1.233
44.000,1.237
45.000,1.241
46.000,1.244
47.000,1.248
48.000,1.252
49.000,1.256
50.000,1.260
51.000,1.264
52.000,1.268
53.000,1.272
54.000,1.276
55.000,1.280
56.000,1.284
57.000,1.288
58.000,1.292
59.000,1.296
60.000,1.300
61.000,1.304
62.000,1.308
63.000,1.312
64.000,1.316
65.000,1.320
66.000,1.324
67.000,1.328
68.000,1.332
69.000,1.336
70.000,1.340
71.000,1.344
72.000,1.348
73.000,1.352
74.000,1.356
75.000,1.360
76.000,1.364
77.000,1.368
78.000,1.372
79.000,1.376
80.000,1.380
81.000,1.384
82.000,1.388
83.000,1.391
84.000,1.395
85.000,1.399
86.000,1.403
87.000,1.407
88.000,1.411
89.000,1.415
90.000,1.420
91.000,1.425
92.000,1.430
93.000,1.435
94.000,1.442
95.000,1.450
96.000,1.462
97.000,1.479
98.000,1.500
99.000,1.524
100.000,1.550
