SOC/%,Voltage/V
0.000,1.750
1.000,1.774
2.000,1.797
3.000,1.817
4.000,1.835
5.000,1.850
6.000,1.863
7.000,1.874
8.000,1.884
9.000,1.893
10.000,1.900
11.000,1.906
12.000,1.911
13.000,1.916
14.000,1.920
15.000,1.924
16.000,1.927
17.000,1.931
18.000,1.934
19.000,1.937
20.000,1.940
21.000,1.943
22.000,1.946
23.000,1.949
24.000,1.951
25.000,1.954
26.000,1.956
27.000,1.958
28.000,1.961
29.000,1.963
30.000,1.965
31.000,1.967
32.000,1.969
33.000,1.972
34.000,1.974
35.000,1.976
36.000,1.978
37.000,1.980
38.000,1.981
39.000,1.983
40.000,1.985
41.000,1.987
42.000,1.988
43.000,1.990
44.000,1.991
45.000,1.993
46.000,1.994
47.000,1.996
48.000,1.997
49.000,1.999
50.000,2.000
51.000,2.001
52.000,2.003
53.000,2.004
54.000,2.006
55.000,2.008
56.000,2.009
57.000,2.010
58.000,2.012
59.000,2.014
60.000,2.015
61.000,2.016
62.000,2.018
63.000,2.019
64.000,2.021
65.000,2.022
66.000,2.024
67.000,2.025
68.000,2.027
69.000,2.028
70.000,2.030
71.000,2.031
72.000,2.033
73.000,2.034
74.000,2.036
75.000,2.037
76.000,2.038
77.000,2.040
78.000,2.042
79.000,2.043
80.000,2.045
81.000,2.047
82.000,2.049
83.000,2.051
84.000,2.053
85.000,2.055
86.000,2.058
87.000,2.060
88.000,2.063
89.000,2.066
90.000,2.070
91.000,2.074
92.000,2.080
93.000,2.086
94.000,2.093
95.000,2.100
96.000,2.108
97.000,2.117
98.000,2.127
99.000,2.138
100.000,2.150
