SOC/%,Voltage/V
0.000,2.500
1.000,2.752
2.000,2.900
3.000,2.949
4.000,2.979
5.000,3.000
6.000,3.017
7.000,3.031
8.000,3.042
9.000,3.052
10.000,3.060
11.000,3.067
12.000,3.074
13.000,3.080
14.000,3.085
15.000,3.090
16.000,3.095
17.000,3.099
18.000,3.103
19.000,3.107
20.000,3.110
21.000,3.113
22.000,3.115
23.000,3.117
24.000,3.119
25.000,3.121
26.000,3.123
27.000,3.124
28.000,3.126
29.000,3.128
30.000,3.130
31.000,3.132
32.000,3.134
33.000,3.136
34.000,3.138
35.000,3.140
36.000,3.142
37.000,3.144
38.000,3.146
39.000,3.148
40.000,3.150
41.000,3.152
42.000,3.154
43.000,3.156
44.000,3.158
45.000,3.160
46.000,3.162
47.000,3.164
48.000,3.166
49.000,3.168
50.000,3.170
51.000,3.172
52.000,3.174
53.000,3.176
54.000,3.178
55.000,3.180
56.000,3.182
57.000,3.184
58.000,3.186
59.000,3.188
60.000,3.190
61.000,3.192
62.000,3.194
63.000,3.196
64.000,3.198
65.000,3.200
66.000,3.202
67.000,3.204
68.000,3.206
69.000,3.208
70.000,3.210
71.000,3.212
72.000,3.214
73.000,3.216
74.000,3.217
75.000,3.219
76.000,3.221
77.000,3.223
78.000,3.225
79.000,3.227
80.000,3.230
81.000,3.233
82.000,3.237
83.000,3.241
84.000,3.245
85.000,3.250
86.000,3.255
87.000,3.261
88.000,3.267
89.000,3.273
90.000,3.280
91.000,3.287
92.000,3.293
93.000,3.301
94.000,3.309
95.000,3.320
96.000,3.335
97.000,3.356
98.000,3.380
99.000,3.411
100.000,3.450
