SOC/%,Voltage/V
0.000,0.900
1.000,0.954
2.000,1.000
3.000,1.040
4.000,1.076
5.000,1.100
6.000,1.114
7.000,1.126
8.000,1.135
9.000,1.143
10.000,1.150
11.000,1.157
12.000,1.163
13.000,1.169
14.000,1.175
15.000,1.180
16.000,1.185
17.000,1.189
18.000,1.193
19.000,1.197
20.000,1.200
21.000,1.203
22.000,1.205
23.000,1.208
24.000,1.210
25.000,1.212
26.000,1.214
27.000,1.216
28.000,1.217
29.000,1.219
30.000,1.220
31.000,1.221
32.000,1.222
33.000,1.223
34.000,1.224
35.000,1.225
36.000,1.226
37.000,1.227
38.000,1.228
39.000,1.229
40.000,1.230
41.000,1.231
42.000,1.232
43.000,1.233
44.000,1.234
45.000,1.235
46.000,1.236
47.000,1.237
48.000,1.238
49.000,1.239
50.000,1.240
51.000,1.241
52.000,1.241
53.000,1.242
54.000,1.242
55.000,1.243
56.000,1.243
57.000,1.244
58.000,1.244
59.000,1.245
60.000,1.245
61.000,1.245
62.000,1.246
63.000,1.246
64.000,1.247
65.000,1.247
66.000,1.248
67.000,1.248
68.000,1.249
69.000,1.249
70.000,1.250
71.000,1.251
72.000,1.251
73.000,1.252
74.000,1.253
75.000,1.254
76.000,1.255
77.000,1.256
78.000,1.257
79.000,1.259
80.000,1.260
81.000,1.261
82.000,1.263
83.000,1.264
84.000,1.266
85.000,1.267
86.000,1.269
87.000,1.271
88.000,1.274
89.000,1.277
90.000,1.280
91.000,1.284
92.000,1.291
93.000,1.299
94.000,1.309
95.000,1.320
96.000,1.336
97.000,1.358
98.000,1.380
99.000,1.400
100.000,1.420
