SOC/%,Voltage/V
0.000,0.700
1.000,0.720
2.000,0.740
3.000,0.760
4.000,0.780
5.000,0.800
6.000,0.821
7.000,0.843
8.000,0.864
9.000,0.884
10.000,0.900
11.000,0.913
12.000,0.925
13.000,0.937
14.000,0.947
15.000,0.957
16.000,0.966
17.000,0.975
18.000,0.983
19.000,0.992
20.000,1.000
21.000,1.008
22.000,1.016
23.000,1.023
24.000,1.030
25.000,1.037
26.000,1.044
27.000,1.051
28.000,1.057
29.000,1.064
30.000,1.070
31.000,1.076
32.000,1.083
33.000,1.089
34.000,1.095
35.000,1.101
36.000,1.107
37.000,1.113
38.000,1.119
39.000,1.124
40.000,1.130
41.000,1.135
42.000,1.141
43.000,1.146
44.000,1.151
45.000,1.156
46.000,1.160
47.000,1.165
48.000,1.170
49.000,1.175
50.000,1.180
51.000,1.185
52.000,1.190
53.000,1.195
54.000,1.200
55.000,1.205
56.000,1.210
57.000,1.215
58.000,1.220
59.000,1.225
60.000,1.230
61.000,1.235
62.000,1.240
63.000,1.245
64.000,1.250
65.000,1.255
66.000,1.260
67.000,1.265
68.000,1.270
69.000,1.275
70.000,1.280
71.000,1.285
72.000,1.290
73.000,1.294
74.000,1.299
75.000,1.304
76.000,1.309
77.000,1.314
78.000,1.319
79.000,1.324
80.000,1.330
81.000,1.336
82.000,1.342
83.000,1.348
84.000,1.355
85.000,1.362
86.000,1.369
87.000,1.376
88.000,1.384
89.000,1.392
90.000,1.400
91.000,1.408
92.000,1.416
93.000,1.426
94.000,1.437
95.000,1.450
96.000,1.469
97.000,1.494
98.000,1.526
99.000,1.561
100.000,1.600
